Feature	MSE	Logloss
ACTB	0.008431945810528363	0.05038323209719605
ACTBTSS	0.007410613488963139	0.04649340682182991
ACTG1	0.007010950326387482	0.047949318474561894
ARID1A	0.00990743746206568	0.05492387401654715
ARID1B	0.007641663241472169	0.04858043737618503
ATM	0.007188779801112927	0.04459589930522022
ATP6AP1	0.007336957386548323	0.04653785640455954
ATP6V1B2	0.006578190684648375	0.045681559132287414
B2M	0.007335722085399273	0.04627050974964225
BACH2TSS	0.007250234310500824	0.047116579712420024
BCL10	0.007109779955560019	0.048915173555438854
BCL11A	0.007363014896257399	0.0472927709313261
BCL11ATSS	0.0067480843626621795	0.045979824273045596
BCL2any	0.0064957827638879966	0.04237718514994095
BCL2L11TSS	0.007094187074452108	0.045621880283273325
BCL6any	0.007640492476096643	0.04854860518449146
BCL6TSS	0.008774485807520516	0.053135169305244825
BCL7A	0.008324758585924975	0.04996470676398988
BCL7ATSS	0.008594169470006725	0.0504345895204578
BCOR	0.012598104354875158	0.06172029217262728
BCR	0.007193979560783998	0.04762029934833139
BIRC3TSS	0.009390471397845667	0.05616679292986508
BLKTSS	0.008504351001556911	0.053615539837587316
BRAF	0.0077371674953164715	0.050841825855512154
BTG1	0.008146083176916714	0.05015187962769106
BTG1TSS	0.008320679740730223	0.05242536662590611
BTG2any	0.00917448478470444	0.05097817300234895
BTK	0.007784528484447039	0.04924441281447639
C13orf18TSS	0.007056402961402976	0.04552269315485585
CARD11	0.00951441370633005	0.05310026933161137
CCND3	0.010307430622164286	0.05466267576478973
CCND3HOTSPOT	0.008789917027846908	0.04961227325495413
CD44TSS	0.008496247139322455	0.0496066237849895
CD58MUTorLOSS	0.00691368174261531	0.043287043230437694
CD70	0.008286327890212952	0.05110422811151663
CD74TSS	0.00812852163239228	0.04952244413755138
CD79A	0.00800085481378871	0.04815701210868507
CD79B	0.007890374395776025	0.04994820521900351
CD79BHOTSPOT	0.011003684204674286	0.06334748440533604
CD83	0.008057279614699452	0.05293085967179605
CD83TSS	0.007266044127210334	0.04992846687146576
CDKN1B	0.008214407790899733	0.05322757464420248
CDKN2AMUTorLOSS	0.009321233868608829	0.057848592425128846
CHD8	0.008901020665578047	0.05580887346581498
CIITA	0.007993692441741716	0.053071413292919346
CIITASV	0.007533006503474143	0.05103731815855007
CIITATSS	0.007996233230426386	0.055100238595423685
CREBBP	0.007976170727408714	0.05278730065293056
CREBBPHOTSPOT	0.006525212811745664	0.048567496311821334
CTSS	0.007585626407872727	0.05170658714760616
CXCR4	0.008279039502478106	0.05150236776207126
CXCR4intronic	0.008993237687470141	0.05677713144769441
DAZAP1	0.010074583188848102	0.0581817290750228
DDX3X	0.0118323296352154	0.066036964283794
DNMT3A	0.0071542618805416356	0.051306213798632205
DTX1TSS	0.008777732663883885	0.058099098549860215
DUSP2	0.009948369878823622	0.06413430151078915
EBF1TSS	0.008460712463701359	0.05655874642305883
EEF1A1	0.008662562472328177	0.05663973576565449
EGR1	0.00880227975984458	0.055295463152810996
EP300	0.008692836166427674	0.05484488485661366
ETS1	0.008139421802142303	0.05326695586923243
ETV6	0.00875640899624723	0.054440478083575904
ETV6SV	0.009165600843494808	0.05542858335866976
ETV6TSS	0.008720182149902455	0.05113042493731935
EZH2	0.007442034101195196	0.04893493459985926
EZH2HOTSPOT	0.0076986833400095895	0.04720967098514746
FAS	0.007672929725900766	0.046451070531294866
FBXO11	0.007259996334898549	0.048235387655101096
FCGR2BSV	0.0069238201658660915	0.04635406509064047
FOXC1	0.0063884948074054	0.04616674271705182
FOXO1	0.007286569646388302	0.0473928176439191
FOXO1HOTSPOT	0.006842011883974708	0.04669263762278602
FOXP1SV	0.007566755613930922	0.04760233221867291
FOXP1intron1b	0.008402736322259881	0.0480424469225575
FOXP1TSS1	0.008144434654460478	0.04803456557260309
FOXP1TSS3	0.008571708391994256	0.0512153643777183
FOXP1TSS4	0.007825934858617234	0.04753081546536051
GNA13	0.007603511522395892	0.0476397124878596
GNAI2	0.008334772131092655	0.05081466767229438
GRHPR	0.00642618529456847	0.042708368770668324
GRHPRTSS	0.007500132030340621	0.04700310020890094
HLAA	0.0070400910555618625	0.04569771454671623
HLAB	0.008339647581190116	0.05281911611775108
