rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	7450	1	437	10	149	40	37	53	279	228	153	1.000000e-16	1.000000e-05	2.193000e-02	1.000000e-16	5.715758e-14
2	TP53	tumor protein p53	1952	0	96	3	235	11	27	16	289	224	148	1.968282e-15	1.000000e-05	1.000000e-05	1.000000e-16	5.715758e-14
3	BCL2	B-cell CLL/lymphoma 2	769	0	8324	359	310	0	32	0	342	176	142	2.696337e-16	1.000000e-05	1	1.000000e-16	5.715758e-14
4	ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	376	0	51	8	152	55	27	23	257	137	81	1.000000e-16	1.000000e-05	1.260000e-03	1.000000e-16	5.715758e-14
5	TNFRSF14	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	884	0	46	4	57	33	31	39	160	137	106	2.220528e-15	5.480000e-03	1.000000e-05	1.000000e-16	5.715758e-14
6	GNA13	guanine nucleotide binding protein (G protein), alpha 13	1149	0	176	5	93	43	21	26	183	127	122	1.000000e-16	1.000000e-05	2.188900e-01	1.000000e-16	5.715758e-14
7	FOXO1	forkhead box O1	1983	0	449	16	143	8	2	5	158	120	65	2.345512e-15	1.000000e-05	1.670000e-03	1.000000e-16	5.715758e-14
8	CCND3	cyclin D3	1078	1	326	3	64	19	0	40	123	117	37	1.000000e-16	1.000000e-05	8.399600e-01	1.000000e-16	5.715758e-14
9	EZH2	enhancer of zeste homolog 2 (Drosophila)	2335	3	235	4	122	0	1	0	123	117	13	1.000000e-16	1.000000e-05	1.000000e-05	1.000000e-16	5.715758e-14
10	HIST1H1E	histone cluster 1, H1e	664	0	53	33	161	0	0	1	162	111	77	1.000000e-16	1.000000e-05	9.415700e-01	1.000000e-16	5.715758e-14
11	PIM1	pim-1 oncogene	964	0	347	117	151	11	34	5	201	99	101	1.000000e-16	1.000000e-05	9.999500e-01	1.000000e-16	5.715758e-14
12	CARD11	caspase recruitment domain family, member 11	3566	1	360	1	88	3	3	2	96	74	60	1.000000e-16	1.000000e-05	1.000000e-05	1.000000e-16	5.715758e-14
13	EP300	E1A binding protein p300	7366	2	243	7	59	7	4	5	75	71	56	2.889534e-15	1.000000e-05	7.480000e-03	1.000000e-16	5.715758e-14
14	LOC729991-MEF2B		1763	0	207	3	60	4	9	2	75	70	41	2.128007e-15	5.000000e-05	3.400000e-04	1.000000e-16	5.715758e-14
15	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	5192	0	322	5	61	2	2	5	70	69	54	8.145603e-16	1.000000e-05	4.631500e-01	1.000000e-16	5.715758e-14
16	SGK1	serum/glucocorticoid regulated kinase 1	2001	0	993	15	113	5	48	2	168	64	105	1.000000e-16	1.000000e-05	1.677000e-02	1.000000e-16	5.715758e-14
17	LILRB1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	2028	1	60	2	59	1	3	0	63	62	9	1.000000e-16	1.000000e-05	5.644400e-01	1.000000e-16	5.715758e-14
18	GNAI2	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	1116	3	54	2	33	1	0	29	63	60	22	5.078699e-16	1.000000e-05	1.000000e-05	1.000000e-16	5.715758e-14
19	MYD88	myeloid differentiation primary response gene (88)	1189	0	10	0	61	0	0	0	61	60	8	7.427677e-16	1.000000e-05	1.000000e-05	1.000000e-16	5.715758e-14
20	HIST1H1B	histone cluster 1, H1b	685	1	13	18	55	2	0	10	67	58	49	2.235534e-15	5.333333e-04	1.458000e-01	1.000000e-16	5.715758e-14
21	HLA-B	major histocompatibility complex, class I, B	1119	0	23	4	41	23	7	8	79	57	58	1.000000e-16	2.261900e-01	1.000000e-05	1.000000e-16	5.715758e-14
22	STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	2647	9	39	3	58	0	1	0	59	56	23	2.112291e-16	1.000000e-05	1.000000e-05	1.000000e-16	5.715758e-14
23	TBL1XR1	transducin (beta)-like 1 X-linked receptor 1	1602	1	638	0	46	3	6	8	63	55	48	4.261339e-15	1.000000e-05	1.353200e-01	1.000000e-16	5.715758e-14
24	KLHL6	kelch-like 6 (Drosophila)	1894	0	372	7	57	2	6	3	68	48	49	5.124182e-15	4.000000e-05	7.102500e-01	1.000000e-16	5.715758e-14
25	HLA-A	major histocompatibility complex, class I, A	1128	5	11	2	27	16	8	2	53	44	39	1.000000e-16	1.572000e-02	1.000000e-05	1.000000e-16	5.715758e-14
26	FAS	Fas (TNF receptor superfamily, member 6)	1046	0	89	3	18	10	10	11	49	43	36	2.550227e-15	1.000000e-05	2.220000e-02	1.000000e-16	5.715758e-14
27	RHOA	ras homolog gene family, member A	926	1	154	0	40	0	2	0	42	40	19	1.000000e-16	1.000000e-05	6.428000e-01	1.000000e-16	5.715758e-14
28	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	2417	0	200	4	42	0	2	5	49	40	37	9.715038e-16	1.000000e-05	3.081500e-01	1.000000e-16	5.715758e-14
